TS,CAND,EVENT_ID,CLIENT,JOB_ID,STAGE,TYPE,BY,NOW,HIRE_DATE
2026-08-21 12:55:35.355,1787316934422x293323467592826900,1787316935918x937624515215938800,Parloa,1787138407054x335827605243035650,Positive response,Positive Response,Filip Nogowski,Interview 1,
2026-08-21 12:55:35.355,1787316934422x293323467592826900,1787316936475x603547820496636400,Parloa,1787138407054x335827605243035650,Recruiter Screen,Recruiter Screen,Filip Nogowski,Interview 1,
2026-08-24 14:16:03.560,1787580949840x953618086345680000,1787580967602x390541388531673700,AVIV ,1786094117912x748763187480100900,,,Rodrigo Gomes,Sequence,
2026-08-24 14:16:03.560,1787580949840x953618086345680000,1787580967966x468575230471759400,AVIV ,1786094117912x748763187480100900,,,Rodrigo Gomes,Sequence,
2026-08-24 14:16:03.560,1787580949840x953618086345680000,1787580967237x912515542861899600,AVIV ,1786094117912x748763187480100900,Hired,Hired,Rodrigo Gomes,Sequence,
2026-08-24 14:16:03.560,1787580949840x953618086345680000,1787580965386x422113432025295940,AVIV ,1786094117912x748763187480100900,Interview 1,Interview 1,Rodrigo Gomes,Sequence,
2026-08-24 14:16:03.560,1787580949840x953618086345680000,1787580966121x705875348637332600,AVIV ,1786094117912x748763187480100900,Interview 2,Interview 2,Rodrigo Gomes,Sequence,
2026-08-24 14:16:03.560,1787580949840x953618086345680000,1787580966457x163076190481458180,AVIV ,1786094117912x748763187480100900,Interview 3,Interview 3,Rodrigo Gomes,Sequence,
2026-08-24 14:16:03.560,1787580949840x953618086345680000,1787580964981x839771975769217000,AVIV ,1786094117912x748763187480100900,Moved to ATS,Offsite,Rodrigo Gomes,Sequence,
2026-08-24 14:16:03.560,1787580949840x953618086345680000,1787580966877x642220276711732500,AVIV ,1786094117912x748763187480100900,Offer,Offer,Rodrigo Gomes,Sequence,
2026-08-24 14:16:03.560,1787580949840x953618086345680000,1787580963860x810447932020217400,AVIV ,1786094117912x748763187480100900,Positive response,Positive Response,Rodrigo Gomes,Sequence,
2026-08-24 14:16:03.560,1787580949840x953618086345680000,1787580964517x744360954857004900,AVIV ,1786094117912x748763187480100900,Recruiter Screen,Recruiter Screen,Rodrigo Gomes,Sequence,
2026-08-24 14:16:03.560,1787580949840x953618086345680000,1787580965730x817592963701993900,AVIV ,1786094117912x748763187480100900,Technical Interview ,Interview 1,Rodrigo Gomes,Sequence,
2026-08-24 14:17:13.073,1787581028612x780090377955201900,1787581036802x137019243160327870,AVIV ,1786094117912x748763187480100900,,,Rodrigo Gomes,Sequence,
2026-08-24 14:17:13.073,1787581028612x780090377955201900,1787581036293x698301342416348900,AVIV ,1786094117912x748763187480100900,,,Rodrigo Gomes,Sequence,
2026-08-24 14:17:13.073,1787581028612x780090377955201900,1787581036024x338894490339372700,AVIV ,1786094117912x748763187480100900,Hired,Hired,Rodrigo Gomes,Sequence,
