job_title,client,date_opened,days_open,external_recruiter
Software Engineer - Frontend (E4/Mid),SevenRooms,2025-11-27,146,False
"Grocery Shift Lead, Volume,Malta",Wolt,2025-11-28,145,False
Store Manager - Tbilisi,Wolt,2025-12-01,142,False
Restaurant Development Specialist - KAZ (Internal),Wolt,2025-12-02,141,False
Ads Operations Specialist - Georgia,Wolt,2025-12-02,141,False
Category Manager - Athens,Wolt,2025-12-02,141,False
Senior Technical Artist,Scorewarrior,2025-12-03,140,False
Enterprise Ads Sales Manager - Azerbaijan,Wolt,2025-12-03,140,False
Ads&Promos Specialist - Azerbaijan,Wolt,2025-12-03,140,False
"Support Associate, Kazakhstan, Volume, Alisa",Wolt,2025-12-04,139,False
Merchant Services Specialist (Almaty),Wolt,2025-12-04,139,False
"Patient Operations Lead, CA",Eucalyptus,2025-12-04,139,False
"B2B Event Marketing Manager, Wolt Ads",Wolt,2025-12-05,138,True
Grocery Shift Lead Norway,Wolt,2025-12-05,138,False
Senior Tech (US - Martin),Tribe.xyz,2025-12-06,137,False
Senior Backend Engineer (i5) |Kotlin | Germany (Dec'25),Wolt,2025-12-07,136,False
Remote Sales German,Nexi,2025-12-07,136,False
Store Operations Associate - Peristeri [Evagelina],Wolt,2025-12-08,135,False
Territory Sales Manager - Nurnberg,Wolt,2025-12-09,134,False
Sales Manager Finland (Uber Eats Sprint),Wolt,2025-12-10,133,True
Support Associate (Sweden),Wolt,2025-12-12,131,False
Grocery Associate Bergen (Norway),Wolt,2025-12-12,131,False
Grocery Associate Stockholm (Sweden),Wolt,2025-12-12,131,False
"Marekting Manager, Bulgaria",Wolt,2025-12-14,129,False
Head of Tax,Nexi,2025-12-15,128,False
Interim Store Team Lead,Wolt,2025-12-17,126,False
Sales Manager Luxembourg,Wolt,2025-12-19,124,False
Grocery Associate Orebro,Wolt,2025-12-19,124,False
Machine Learning Engineer,Enam,2025-12-23,120,False
"Grocery Shift Lead, Latvia",Wolt,2025-12-24,119,False
English and Georgian Support Associate - Ketevan - Full Time & Part Time,Wolt,2025-12-25,118,False
Support Associate - Greece [Evagelina],Wolt,2025-12-29,114,False
Delivery Courier (Employed),Wolt,2025-12-29,114,False
"Category Manager, Slovakia, Q1 '26",Wolt,2025-12-30,113,False
"Grocery Associate (Volume) - Almaty, KAZ",Wolt,2026-01-05,107,False
"Support Associate (Volume) - Tashkent, UZB",Wolt,2026-01-05,107,False
Country Head of Merchant Operations - AZE,Wolt,2026-01-06,106,False
Sales Manager-Kosovo,Wolt,2026-01-07,105,False
Data Engineer,Doordash,2026-01-08,104,False
Accounting Manager DACH,Nexi,2026-01-08,104,False
"Growth Marketing Manager, CA",Eucalyptus,2026-01-08,104,False
"Finance & Strategy Manager, Israel",Wolt,2026-01-11,101,False
ISV_Lombardia_Software Sales Expert,Nexi,2026-01-13,99,False
DevOps Observability Engineer,Wolt,2026-01-13,99,True
Senior Backend Engineer Fintech I5,Wolt,2026-01-13,99,True
Regional Restaurant Marketing Manager - West,Wolt,2026-01-13,99,True
Senior Staff Engineer Fintech I7,Wolt,2026-01-13,99,True
ISV_Lazio_Software Sales Expert,Nexi,2026-01-13,99,False
Fullstack Engineer - recontacting InMail,Enam,2026-01-15,97,False
Account Manager - Kosovo,Wolt,2026-01-16,96,False
Sequence 1,Tribe - Marketing,2026-01-19,93,False
Merchant Services Associate KAZ (Internal),Wolt,2026-01-19,93,False
Partnership Specialist - AZE,Wolt,2026-01-19,93,False
"Lead Solution Engineer, US West/Central",Parloa,2026-01-20,92,False
Content Associate - Tallinn,Wolt,2026-01-20,92,False
Senior Value Consultant west/Central U.S.,Parloa,2026-01-20,92,False
Store Manager - Cyprus,Wolt,2026-01-20,92,False
Berlin - outreach,BD - Tribe,2026-01-20,92,False
Accounting Associate,Nexi,2026-01-22,90,False
Restaurant Development Specialist - Astana,Wolt,2026-01-22,90,False
Senior Category Manager - Almaty,Wolt,2026-01-22,90,False
Review,Tribe.xyz,2026-01-22,90,False
