TIMESTAMP_UTC,CANDIDATE_ID,CLIENT,JOB_ID,CREATED_BY,EVENTS_AT_SAME_TIMESTAMP,STAGES_WRITTEN,CANDIDATE_STAGE_NOW,PHANTOM_HIRED,REAL_HIRE_DATE
2026-08-25 12:27:56.962,1787660522402x762483584574998000,AVIV ,1775125002560x755091190743302100,Rodrigo Gomes,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 12:27:57.231,1787660283090x986487496121966300,AVIV ,1775125002560x755091190743302100,Rodrigo Gomes,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 12:27:57.369,1787660318952x957955725365614300,AVIV ,1775125002560x755091190743302100,Rodrigo Gomes,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 12:27:57.387,1787660349430x288094608662164060,AVIV ,1775125002560x755091190743302100,Rodrigo Gomes,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 12:27:57.424,1787660496761x201390620497531740,AVIV ,1775125002560x755091190743302100,Rodrigo Gomes,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 12:27:57.783,1787660371667x428858931502311940,AVIV ,1775125002560x755091190743302100,Rodrigo Gomes,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 12:27:57.852,1787660260361x945960412839540700,AVIV ,1775125002560x755091190743302100,Rodrigo Gomes,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 12:27:57.861,1787660328139x807727971244461400,AVIV ,1775125002560x755091190743302100,Rodrigo Gomes,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 12:27:57.961,1787660272565x722457485653845200,AVIV ,1775125002560x755091190743302100,Rodrigo Gomes,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 12:27:57.977,1787660294126x261607242173838240,AVIV ,1775125002560x755091190743302100,Rodrigo Gomes,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 12:27:58.051,1787660306022x327687908381196350,AVIV ,1775125002560x755091190743302100,Rodrigo Gomes,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 12:27:58.145,1787660339425x604874611717780400,AVIV ,1775125002560x755091190743302100,Rodrigo Gomes,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 12:27:58.161,1787660245559x959437315476500600,AVIV ,1775125002560x755091190743302100,Rodrigo Gomes,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 12:27:58.243,1787660235554x978044535428256300,AVIV ,1775125002560x755091190743302100,Rodrigo Gomes,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 12:27:58.244,1787660219992x477375950696680600,AVIV ,1775125002560x755091190743302100,Rodrigo Gomes,1,,Sequence,no,
2026-08-25 15:54:09.683,1787673030840x164434929801335900,AVIV ,1778238210297x617135774419124200,Mikhail Kuzmin,10,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen | Sequence,Sequence,YES,
2026-08-25 15:54:09.697,1787673031872x615298235950540500,AVIV ,1778238210297x617135774419124200,Mikhail Kuzmin,10,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen | Sequence,Sequence,YES,
